Tag_Full,Value_String,Timestamp,DataType,Value_Numeric,Reason_No_Data
CH-ML:DDGSbuilding.Percent.Balling,1.080000043,2023-05-09T08:00:00.000Z,Numeric,1.080000043,
CH-ML:DDGSbuilding.Percent.Balling,4,2023-05-10T23:00:00.000Z,Numeric,4.0,
CH-ML:DDGSbuilding.Percent.Balling,1.700000048,2023-05-11T09:00:00.000Z,Numeric,1.700000048,
CH-ML:DDGSbuilding.Percent.Balling,2.299999952,2023-05-12T20:00:00.000Z,Numeric,2.299999952,
CH-ML:DDGSbuilding.Percent.Balling,3.450000048,2023-05-13T19:00:00.000Z,Numeric,3.450000048,
CH-ML:DDGSbuilding.Percent.Balling,7.800000191,2023-05-14T09:00:00.000Z,Numeric,7.800000191,
CH-ML:DDGSbuilding.Percent.Balling,9,2023-05-15T07:00:00.000Z,Numeric,9.0,
CH-ML:DDGSbuilding.Percent.Balling,3.660000086,2023-05-15T22:00:00.000Z,Numeric,3.660000086,
CH-ML:DDGSbuilding.Percent.Balling,3.900000095,2023-05-16T21:00:00.000Z,Numeric,3.900000095,
CH-ML:DDGSbuilding.Percent.Balling,3.319999933,2023-05-17T16:00:00.000Z,Numeric,3.319999933,
CH-ML:DDGSbuilding.Percent.Balling,8.409999847,2023-05-17T21:00:00.000Z,Numeric,8.409999847,
CH-ML:DDGSbuilding.Percent.Balling,8.010000229,2023-05-18T08:00:00.000Z,Numeric,8.010000229,
CH-ML:DDGSbuilding.Percent.Balling,5.869999886,2023-05-18T21:00:00.000Z,Numeric,5.869999886,
CH-ML:DDGSbuilding.Percent.Balling,4.480000019,2023-05-19T07:00:00.000Z,Numeric,4.480000019,
CH-ML:DDGSbuilding.Percent.Balling,6.099999905,2023-05-20T08:00:00.000Z,Numeric,6.099999905,
CH-ML:DDGSbuilding.Percent.Balling,12.60000038,2023-05-21T21:00:00.000Z,Numeric,12.60000038,
CH-ML:DDGSbuilding.Percent.Balling,5.570000172,2023-05-22T08:00:00.000Z,Numeric,5.570000172,
CH-ML:DDGSbuilding.Percent.Balling,7.300000191,2023-05-22T20:30:00.000Z,Numeric,7.300000191,
CH-ML:DDGSbuilding.Percent.Balling,2.700000048,2023-05-23T20:30:00.000Z,Numeric,2.700000048,
CH-ML:DDGSbuilding.Percent.Balling,4.800000191,2023-05-24T21:00:00.000Z,Numeric,4.800000191,
CH-ML:DDGSbuilding.Percent.Balling,6.699999809,2023-05-25T07:00:00.000Z,Numeric,6.699999809,
CH-ML:DDGSbuilding.Percent.Balling,7.800000191,2023-05-25T20:30:00.000Z,Numeric,7.800000191,
CH-ML:DDGSbuilding.Percent.Balling,11.80000019,2023-05-26T08:00:00.000Z,Numeric,11.80000019,
CH-ML:DDGSbuilding.Percent.Balling,6.800000191,2023-05-26T19:00:00.000Z,Numeric,6.800000191,
CH-ML:DDGSbuilding.Percent.Balling,12,2023-05-27T10:00:00.000Z,Numeric,12.0,
CH-ML:DDGSbuilding.Percent.Balling,8.130000114,2023-05-27T20:00:00.000Z,Numeric,8.130000114,
CH-ML:DDGSbuilding.Percent.Balling,8.520000458,2023-05-28T21:00:00.000Z,Numeric,8.520000458,
CH-ML:DDGSbuilding.Percent.Balling,6.900000095,2023-05-29T09:30:00.000Z,Numeric,6.900000095,
CH-ML:DDGSbuilding.Percent.Balling,6.5,2023-05-30T09:00:00.000Z,Numeric,6.5,
CH-ML:DDGSbuilding.Percent.Balling,3.930000067,2023-05-30T19:00:00.000Z,Numeric,3.930000067,
CH-ML:DDGSbuilding.Percent.Balling,9.800000191,2023-05-31T10:00:00.000Z,Numeric,9.800000191,
CH-ML:DDGSbuilding.Percent.Balling,8.18999958,2023-06-01T10:00:00.000Z,Numeric,8.18999958,
CH-ML:DDGSbuilding.Percent.Balling,8.399999619,2023-06-02T11:00:00.000Z,Numeric,8.399999619,
CH-ML:DDGSbuilding.Percent.Balling,9.220000267,2023-06-03T10:00:00.000Z,Numeric,9.220000267,
CH-ML:DDGSbuilding.Percent.Balling,5,2023-06-03T21:00:00.000Z,Numeric,5.0,
CH-ML:DDGSbuilding.Percent.Balling,4.829999924,2023-06-04T10:00:00.000Z,Numeric,4.829999924,
