Asset,Description,Location,IsProblematic,Preventative Maintenance,Plant Area,Parent,YTD Direct Costs,YTD Rolled Costs,Life Direct Costs,UniqueLocation,Life Rolled Costs
6914,"FLOW ELEMENT, FCI, MODEL 102",FE-18110B,No,,DRYER A,,0,$0.00,0,1,$0.00
6915,"FLOW ELEMENT, FCI, MODEL 102",FE-18111A,No,,DRYER A,,0,$0.00,0,1,$0.00
6916,"FLOW ELEMENT, FCI, MODEL 102",FE-18111B,No,,DRYER A,,0,$0.00,0,1,$0.00
1743,FE-1824 DDGS COOLER DISTRIBUTOR,FE-1824,No,,DDG,,0,$0.00,3160.81,1,"$3,160.81"
3695,FLOW ORIFICE,FO-18618,No,,DRYER A,,0,$0.00,0,1,$0.00
3611,"FT, THERMAL MASS, FCI, ST102 SERIES",FT-18110,Yes,,DRYER A,,0,$0.00,562.5,1,$562.50
3612,"FT, THERMAL MASS, FCI, ST102 SERIES",FT-18111,Yes,,DRYER A,,0,$0.00,157.5,1,$157.50
3614,"FT, THERMAL MASS, FCI, ST100 SERIES",FT-18112,No,,DRYER A,,0,$0.00,0,1,$0.00
3615,"FT, MAGNETIC, ENDRESS+HAUSER, PROMAG P, xx",FT-18153,No,,DRYER A,,0,$0.00,315,1,$315.00
3616,"FT, MAGNETIC, ENDRESS+HAUSER, PROMAG P, xx",FT-18161,No,,DRYER A,,0,$0.00,11.25,1,$11.25
7018,"FCV, COMENCO, PAH-1285-56.0-KZI, 24"" BUTTERFLY VALVE",FV-18110,No,,DRYER A,,204,$0.00,1829,1,$0.00
2481,DRYER D COMBUSTION AIR BURNER,H-1801D,No,,DRYER D,,0,$0.00,57330.1,1,"$57,330.10"
2565,"BURNER, COMENCO, MODEL PAH-1285-56.0-KZI, THERMAL OXIDIZER",H-1825,No,,DRYER A,,0,$0.00,4626.08,1,"$4,626.08"
2566,BURNER VALVE TRAIN (H-1825),H-1825,No,,DRYER A,,0,$0.00,0,0,$0.00
